التصنيف,النوع,العملية,الموقع,المساحة,السعر,التفاصيل,رقم التواصل
"سكني / صناعي","عمارة للبدل","بدل","المنطقة 23","غير محدد","مبادلة","بدروم ودورين ناصية للبدل بقطعة صناعية في الـ 8","01070006610"
"زراعي / صناعي","أرض استثمارية","للبيع","الخطاطبة (السادات)","1.5 فدان","3 مليون كاش","ملك نهائي، 3 واجهات، تصلح مخازن أو مصنع أو مزرعة","01221566674"
"زراعي","أرض زراعية","للبيع","الوادي الفارغ (وادي النطرون)","1000 فدان","130 ألف للمالك + 175 للحكومة","رملة حمراء مستوية، تبعد 15 كيلو عن الدولي، ملف بالهيئة","غير محدد"
"صناعي","مصنع بلاستيك","للإيجار","غير محدد","5500 متر","غير محدد","كهرباء نص ميجا، رخصة وسجل دفاع مدني","01060644334"
"صناعي","مصنع بلاستيك / كيماوي","للبيع","المنطقة الثامنة الصناعية","1750 متر","سعر ممتاز","مبنى جمالون وإدارة سوبر لوكس، دفاع مدني، كهرباء 100 ك","01069181566"
"سكني","شقق مفروشة","مطلوب للإيجار","غير محدد","غير محدد","في حدود 5000","للمهندسين والسائقين","01090469052"
"سكني","عمارة أهالي","مطلوب للإيجار","غير محدد","غير محدد","غير محدد","لشركة، بدون وصل أمانة، شرط جزائي بالعقد","01040654902"
"زراعي","أرض زراعية","للبيع","الحزام الاخضر","13 فدان","1.5 مليون","ملك نهائي، بير 25 حصان، مزروعة طماطم، على الطريق","غير محدد"
"زراعي / صناعي","عنبر دواجن وأرض","للبيع","غير محدد","2 فدان وعنبر 15 ألف طائر","3 مليون","عمدان خرسانة، محطة تنقية، سكن، عداد 3 فاز","غير محدد"
"زراعي","أرض زراعية","للبيع","الضبيعة","2 فدان","غير محدد","مزروعة غلة، جارهم موز","غير محدد"
"زراعي","أرض زراعية","للبيع","مسجد الجارحي - مجمع الاصدقاء","4.5 فدان","1300","غير محدد","غير محدد"
"زراعي","أرض زراعية","للبيع","مركز بدر","12 فدان","غير محدد","مانجا كيت عمر 7 سنين، مياه 350، ملف تقنين","غير محدد"
"سكني","فيلا دوبلكس","للبيع","المنطقة الخامسة","440 متر (200 مباني)","غير محدد","بدروم ودورين، سوبر لوكس، جميع العدادات، خالصة اقتصاد","01011172954"
"سكني","منزل","للبيع","بيت الوطن 13","600 متر (300 مباني)","غير محدد","بدروم ودور أول وتاني بدون سقف، خالصة الأقساط، شارع رئيسي","01011172954"
"زراعي","مزرعة","للبيع","نطاق الخطاطبة","20 فدان","غير محدد","تبعد عن الصحراوي 4 كيلو، زيتون عمر سنة، ملك نهائي","01007054712"
"زراعي","مزرعة","للبيع","نطاق ماستر","16 فدان","غير محدد","موالح، بير خاص، كاميرات، استراحة عمال، زريبة مواشي","01007054712"
"زراعي","مزرعة","للبيع","على الصحراوي مباشر","8 فدان و 16 قيراط","غير محدد","مسجلة شهر عقاري، بير مرخص، محول خاص","01007054712"
"زراعي","مزرعة بها استراحة","مطلوب للشراء","وادي النطرون","5 فدان","750 ألف إلى مليون","كاش فوري، ملك نهائي فقط، لا تبعد عن الأسفلت","غير محدد"
"صناعي","مصنع بلاستيك","للبيع","غير محدد","12 ألف متر","غير محدد","مبنى إداري 4 أدوار، كهرباء 1.5 ميجا، رخصة وسجل","01060644334"
"زراعي / صناعي","مشروع متكامل","للبيع","الواحات البحرية (قرية الزبو)","33 فدان","غير محدد","1350 نخلة، مصنع تمور، ثلاجة 40 طن، طاقة شمسية، عقد نهائي","غير محدد"
"سكني","نصف قطعة إسكان","للبيع","المنطقة 21","330 متر","لقطة جداً","خالصة، بحري خلفي، رقم 847","01289590011"
"سكني","قطعة أرض","للبيع","المربع الذهبي المنطقة 29","600 متر","سعر ممتاز جداً","خالصة أقساط ورخصة، غير مجروحة، على مسطح خدمات","01226352436"
"سكني","قطعة أرض","للبيع","المنطقة السكنية 33","غير محدد","2 مليون و 100 ألف","خالصة أقساط ورخصة بدون بدروم، مبني قواعد وعمدان الأول","01226352436"
"سكني","شقة","للبيع","السابعة القديمة","غير محدد","غير محدد","دور تالت، 3 عدادات، على أبو بكر مباشر، خالصة","01023612368"
"صناعي","مصنع أسمدة كيماوي","للبيع","المنطقة الصناعية الخامسة","500 متر","غير محدد","المبنى 370 متر 3 أدوار","01280792578"
"سكني","عمارة سكنية","للبيع","المنطقة الثالثة بيت الوطن","715 متر","غير محدد","دبل فيس على المحور، بدروم ودورين وعمدان الثالث ورخصة للرابع","01026146666"
"سكني","عمارة","للبيع","المنطقة 13","غير محدد","غير محدد","4 أدوار سوبر لوكس","01014242771"
"سكني","بيت","للبيع","المنطقة الخامسة السكنية","507 متر","سعر ممتاز جداً","مباني دور واحد وعمدان الثاني، سور حول البيت، غير مجروح","01226352436"
"زراعي","أرض زراعية","للبيع","الوادي الفارغ","2000 فدان","300 ألف للفدان","خالصة جيش وآثار، مدفوع 15% من المقدم وجزء من القسط","غير محدد"
"سكني","شقة","للبيع","المنطقة الثامنة","غير محدد","متاجرة بـ 5800","دور أرضي بحري، 3 عدادات، بجوار كلية الدراسات","01030020287 / 01095233695"
"سكني","قطعة أرض","للبيع","المنطقة 35 إسكان مميز","690 متر","غير محدد","مجهزة بأساسات لبشة، رقم 25، على أبو بكر مباشر","01003753072"
"صناعي","مصنع غذائي","للإيجار","الصناعية الثامنة","2700 متر","لقطة","أول مستأجر، تسليم خلال شهر","01112871117"
"زراعي","مزرعة","للبيع","في قلب القرية","50 فدان","1.8 مليون للفدان","ملك نهائي، مياه بحاري وارتوازي، أمام مدرسة ومعهد، حصه كهرباء","غير محدد"
"زراعي","مزرعة","للبيع","غير محدد","92 فدان","غير محدد","مدفوع قسط واحد، مزروعة زيتون 6 سنين، مدخل نخيل برحي","غير محدد"
"زراعي","مزرعة","للبيع","غير محدد","78.8 فدان","غير محدد","مزروعة عنب فليم وكرمسون وخوخ بأنواع وأعمار مختلفة","غير محدد"
"زراعي","أرض زراعية","للبيع","على الأسفلت مباشر","50 فدان","غير محدد","نصفها زيتون 3 سنوات والنصف مستصلح، بير 100 حصان","غير محدد"
"زراعي","أرض زراعية","للبيع","عند صفاء المعداوي","45 فدان","1.4 مليون","ملك نهائي (عقد أخضر)، مزروعة موز، 2 بئر، محول، تربة حمراء","01064911294"
